Patients,MILP_Obj,MILP_Time,WPS_Obj,WPS_Time,PS_Obj,PS_Time
10,1403.0,18.57,1403.0,54.99,1403.0,29.1
15,3102.0,63.95,3102.0,435.65,3102.0,318.68
20,3429.0,1800.15,3687.0,1800.06,3698.0,1800.1
