Patients,Caregivers,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",1635.0,0.0,0.05,0.28,0.28,1635.0,0.0,3.49,12.76,13.96,1635.0,0.0,3.23,16.62,17.85
15,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}]",2061.0,0.0,0.12,4.4,6.27,2061.0,0.0,3.87,73.99,91.36,2061.0,0.0,3.47,29.4,48.51
20,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}]",4584.0,0.0,0.26,0.94,0.94,4584.0,0.0,11.92,44.16,48.53,4584.0,0.0,14.96,63.52,68.02
