Patients,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,1287.0,0.0,0.04,22.29,22.29,1287.0,0.0,0.74,14.65,39.99,1287.0,0.0,0.74,28.73,51.07
15,2315.0,0.0,0.19,420.86,420.86,2315.0,0.0,10.25,1019.95,1752.13,2315.0,0.0,10.81,367.17,1527.16
