Patients,Caregivers,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",773.0,0.0,0.01,0.01,0.04,773.0,0.0,0.09,0.66,0.72,773.0,0.0,0.11,0.5,0.54
15,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}]",2515.0,0.0,0.07,0.46,0.48,2515.0,0.0,0.7,4.93,5.57,2515.0,0.0,0.54,2.76,3.72
20,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}]",3409.0,0.0,0.27,9.44,9.44,3409.0,0.0,2.37,52.99,61.03,3409.0,0.0,2.23,34.66,46.6
