Patients,Caregivers,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",773.0,0.0,0.01,0.03,0.03,773.0,0.0,0.08,0.31,0.34,773.0,0.0,0.06,0.36,0.4
15,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}]",2515.0,0.0,0.03,0.5,0.5,2515.0,0.0,0.49,3.73,4.42,2515.0,0.0,0.46,1.49,2.02
20,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}]",3409.0,0.0,0.08,6.07,6.07,3409.0,0.0,2.0,35.08,43.82,3409.0,0.0,2.16,50.81,70.29
