Patients,Caregivers,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",1358.0,0.0,0.02,0.02,0.03,1358.0,0.0,0.14,0.65,0.73,1358.0,0.0,0.14,0.64,0.69
15,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}]",2690.0,0.0,0.08,0.82,0.83,2690.0,0.0,0.95,4.33,5.85,2690.0,0.0,0.91,4.59,5.95
20,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}]",3357.0,0.0,1.31,30.65,30.65,3357.0,0.0,3.73,22.48,193.5,3357.0,0.0,4.12,45.42,63.54
