Patients,Caregivers,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",2005.0,0.0,0.41,107.63,107.64,2005.0,0.0,10.4,566.82,702.01,2005.0,0.0,9.9,271.89,396.54
15,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",3103.0,0.0,0.51,105.54,105.54,3103.0,0.0,13.46,562.78,1031.4,3103.0,0.0,12.73,535.78,1639.89
20,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",3449.0,0.0,4.57,150.13,150.13,3449.0,0.0,34.19,1605.38,1800.06,3449.0,0.0,31.87,1531.45,1800.15
