Patients,Caregivers,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",1403.0,0.0,0.03,21.29,21.29,1403.0,0.0,0.7,34.21,87.85,1403.0,0.0,1.74,14.08,68.7
15,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",3102.0,0.0,0.38,91.02,91.03,3102.0,0.0,16.59,436.29,597.89,3102.0,0.0,12.95,462.45,610.87
20,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",3470.0,22.09,2.07,1800.24,1800.25,3890.0,30.5,1293.78,1654.06,1800.1,3682.0,26.58,432.55,995.57,1800.12
