Patients,Caregivers,MILP_Obj,MILP_Gap_%,MILP_T_First,MILP_T_Last,MILP_Time,WPS_Obj,WPS_Gap_%,WPS_T_First,WPS_T_Last,WPS_Time,PS_Obj,PS_Gap_%,PS_T_First,PS_T_Last,PS_Time
10,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",1793,0,0.05,1.61,1.61,1793,0,0.28,6.23,11.5,1793,0,0.31,4.19,9.48
15,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",2777,0,0.33,56.71,56.7,2777,0,3.3,371.43,719.05,2777,0,4.53,906.31,1800.14
20,"[{'id': 1, 'qualification': 'nurse', 'priority': 3, 'start_time': 540, 'end_time': 1020}, {'id': 2, 'qualification': 'assistant', 'priority': 2, 'start_time': 480, 'end_time': 960}, {'id': 3, 'qualification': 'health_aid', 'priority': 1, 'start_time': 540, 'end_time': 1020}, {'id': 4, 'qualification': 'nurse', 'priority': 3, 'start_time': 480, 'end_time': 960}, {'id': 5, 'qualification': 'assistant', 'priority': 2, 'start_time': 540, 'end_time': 1020}, {'id': 6, 'qualification': 'health_aid', 'priority': 1, 'start_time': 480, 'end_time': 960}]",3464,34.35,4.1,1800.09,1800.1,3551,35.96,43.47,1389.73,1800.18,3601,36.85,93.09,1288.53,1800.43
